isin,s_date,close,p_price,r_price,p_rate,r_rate,predict,correct,error
181710,2023-07-07,23100,23092,23400.0,-0.03,1.3,0,0,1.32
183190,2023-07-07,9370,9375,9300.0,0.05,-0.75,0,1,0.81
185750,2023-07-07,77000,76938,76700.0,-0.08,-0.39,0,1,0.31
192080,2023-07-07,41200,41186,41400.0,-0.03,0.49,0,0,0.52
192400,2023-07-07,15900,15891,15710.0,-0.06,-1.19,0,1,1.15
192650,2023-07-07,10430,10455,9850.0,0.24,-5.56,0,1,6.14
192820,2023-07-07,89000,88967,89600.0,-0.04,0.67,0,0,0.71
194370,2023-07-07,13890,13886,13760.0,-0.03,-0.94,0,1,0.92
195870,2023-07-07,62700,62635,59600.0,-0.1,-4.94,0,1,5.09
200880,2023-07-07,22950,22894,23450.0,-0.24,2.18,0,0,2.37
204210,2023-07-07,3805,3818,3755.0,0.34,-1.31,0,1,1.68
204320,2023-07-07,53000,52959,53100.0,-0.08,0.19,0,0,0.27
207940,2023-07-07,719000,718098,708000.0,-0.13,-1.53,0,1,1.43
210540,2023-07-07,16580,16589,16490.0,0.05,-0.54,0,1,0.6
210980,2023-07-07,21800,21814,21450.0,0.06,-1.61,0,1,1.7
213500,2023-07-07,10770,10765,10800.0,-0.05,0.28,0,0,0.32
214320,2023-07-07,38550,38536,39100.0,-0.04,1.43,0,0,1.44
214330,2023-07-07,877,889,845.0,1.37,-3.65,0,1,5.21
214390,2023-07-07,6750,6763,6660.0,0.19,-1.33,0,1,1.55
214420,2023-07-07,5590,5565,5540.0,-0.45,-0.89,0,1,0.45
226320,2023-07-07,14280,14258,14440.0,-0.15,1.12,0,0,1.26
227840,2023-07-07,11680,11678,11840.0,-0.02,1.37,0,0,1.37
229640,2023-07-07,6880,6897,6800.0,0.25,-1.16,0,1,1.43
234080,2023-07-07,13140,13133,13150.0,-0.05,0.08,0,0,0.13
241560,2023-07-07,59600,59598,61300.0,-0.0,2.85,0,0,2.78
241590,2023-07-07,8800,8793,8430.0,-0.08,-4.2,0,1,4.31
244920,2023-07-07,4600,4601,4575.0,0.02,-0.54,0,1,0.57
248070,2023-07-07,27500,27483,27600.0,-0.06,0.36,0,0,0.42
248170,2023-07-07,29800,29795,29300.0,-0.02,-1.68,0,1,1.69
249420,2023-07-07,14560,14553,14500.0,-0.05,-0.41,0,1,0.37
251270,2023-07-07,44900,44853,44200.0,-0.1,-1.56,0,1,1.48
259960,2023-07-07,174500,174367,175200.0,-0.08,0.4,0,0,0.48
264900,2023-07-07,8820,8818,8810.0,-0.02,-0.11,0,1,0.09
26490K,2023-07-07,10670,10676,10700.0,0.06,0.28,0,0,0.22
267250,2023-07-07,57800,57768,59700.0,-0.06,3.29,0,0,3.24
267260,2023-07-07,67700,67689,68400.0,-0.02,1.03,0,0,1.04
267270,2023-07-07,85300,85262,85100.0,-0.04,-0.23,0,1,0.19
267290,2023-07-07,19660,19655,19740.0,-0.03,0.41,0,0,0.43
267850,2023-07-07,13150,13159,13070.0,0.07,-0.61,0,1,0.68
268280,2023-07-07,160100,159849,155200.0,-0.16,-3.06,0,1,3.0
271560,2023-07-07,122400,122337,120600.0,-0.05,-1.47,0,1,1.44
271940,2023-07-07,30750,30726,30500.0,-0.08,-0.81,0,1,0.74
271980,2023-07-07,18490,18489,18300.0,-0.01,-1.03,0,1,1.03
272210,2023-07-07,14980,14987,15240.0,0.05,1.74,0,0,1.66
272450,2023-07-07,16290,16291,16190.0,0.01,-0.61,0,1,0.62
272550,2023-07-07,17200,17198,17290.0,-0.01,0.52,0,0,0.53
280360,2023-07-07,98100,98026,97300.0,-0.08,-0.82,0,1,0.75
281820,2023-07-07,21450,21437,20600.0,-0.06,-3.96,0,1,4.06
282330,2023-07-07,166800,166724,170500.0,-0.05,2.22,0,0,2.21
282690,2023-07-07,11700,11717,11680.0,0.15,-0.17,0,1,0.32
284740,2023-07-07,22600,22583,22350.0,-0.08,-1.11,0,1,1.04
285130,2023-07-07,65000,64926,64300.0,-0.11,-1.08,0,1,0.97
28513K,2023-07-07,30150,30132,29600.0,-0.06,-1.82,0,1,1.8
286940,2023-07-07,24350,24343,24250.0,-0.03,-0.41,0,1,0.38
293480,2023-07-07,13780,13782,13620.0,0.01,-1.16,0,1,1.19
293940,2023-07-07,6170,6174,6170.0,0.06,0.0,0,1,0.06
294870,2023-07-07,10610,10620,10740.0,0.09,1.23,0,0,1.12
298000,2023-07-07,81200,81078,93400.0,-0.15,15.02,0,0,13.19
298020,2023-07-07,339500,338971,344500.0,-0.16,1.47,0,0,1.6
298040,2023-07-07,121900,121842,123300.0,-0.05,1.15,0,0,1.18
298050,2023-07-07,438000,437673,451500.0,-0.07,3.08,0,0,3.06
298690,2023-07-07,3325,3330,3345.0,0.15,0.6,0,0,0.45
300720,2023-07-07,11730,11721,11790.0,-0.08,0.51,0,0,0.59
302440,2023-07-07,73500,73441,71800.0,-0.08,-2.31,0,1,2.29
306200,2023-07-07,148100,148015,149000.0,-0.06,0.61,0,0,0.66
307950,2023-07-07,146400,146042,146400.0,-0.24,0.0,0,1,0.24
308170,2023-07-07,15440,15421,14990.0,-0.12,-2.91,0,1,2.88
316140,2023-07-07,11360,11366,11390.0,0.05,0.26,0,0,0.21
317400,2023-07-07,6070,6068,6130.0,-0.03,0.99,0,0,1.01
322000,2023-07-07,36650,36651,36350.0,0.0,-0.82,0,1,0.83
323410,2023-07-07,22850,22836,23150.0,-0.06,1.31,0,0,1.36
326030,2023-07-07,75400,75314,73400.0,-0.11,-2.65,0,1,2.61
329180,2023-07-07,136000,135903,137900.0,-0.07,1.4,0,0,1.45
330590,2023-07-07,3635,3648,3575.0,0.36,-1.65,0,1,2.04
334890,2023-07-07,4450,4453,4420.0,0.07,-0.67,0,1,0.75
336260,2023-07-07,27000,26997,27600.0,-0.01,2.22,0,0,2.18
33626K,2023-07-07,8350,8345,8500.0,-0.06,1.8,0,0,1.82
33626L,2023-07-07,9830,9835,9800.0,0.05,-0.31,0,1,0.36
336370,2023-07-07,37200,37178,35800.0,-0.06,-3.76,0,1,3.85
33637K,2023-07-07,8220,8216,7990.0,-0.05,-2.8,0,1,2.83
33637L,2023-07-07,10070,10079,9940.0,0.09,-1.29,0,1,1.4
338100,2023-07-07,4230,4244,4185.0,0.33,-1.06,0,1,1.41
339770,2023-07-07,8550,8568,8400.0,0.21,-1.75,0,1,2.0
344820,2023-07-07,43700,43685,43750.0,-0.03,0.11,0,0,0.15
348950,2023-07-07,4080,4083,4040.0,0.07,-0.98,0,1,1.06
350520,2023-07-07,3805,3813,3795.0,0.21,-0.26,0,1,0.47
352820,2023-07-07,286000,285915,267000.0,-0.03,-6.64,0,1,7.08
353200,2023-07-07,30750,30741,29500.0,-0.03,-4.07,0,1,4.21
35320K,2023-07-07,11390,11395,11200.0,0.04,-1.67,0,1,1.74
357120,2023-07-07,5620,5623,5590.0,0.05,-0.53,0,1,0.59
357250,2023-07-07,3150,3149,3160.0,-0.03,0.32,0,0,0.35
357430,2023-07-07,3230,3245,3205.0,0.46,-0.77,0,1,1.25
361610,2023-07-07,92600,92588,91200.0,-0.01,-1.51,0,1,1.52
363280,2023-07-07,8040,8034,8030.0,-0.07,-0.12,0,1,0.05
36328K,2023-07-07,9700,9708,9670.0,0.08,-0.31,0,1,0.39
365550,2023-07-07,3885,3892,3825.0,0.18,-1.54,0,1,1.75
372910,2023-07-07,5830,5834,5710.0,0.07,-2.06,0,1,2.17
373220,2023-07-07,562000,561515,550000.0,-0.09,-2.14,0,1,2.09
375500,2023-07-07,30850,30828,30950.0,-0.07,0.32,0,0,0.39
37550K,2023-07-07,19190,19186,19230.0,-0.02,0.21,0,0,0.23
37550L,2023-07-07,22600,22581,22600.0,-0.08,0.0,0,1,0.08
377190,2023-07-07,3210,3223,3170.0,0.4,-1.25,0,1,1.67
377300,2023-07-07,45800,45785,46250.0,-0.03,0.98,0,0,1.01
377740,2023-07-07,4940,4962,4995.0,0.45,1.11,0,0,0.66
378850,2023-07-07,4800,4783,4800.0,-0.35,0.0,0,1,0.35
380440,2023-07-07,10000,10009,10000.0,0.09,0.0,0,1,0.09
381970,2023-07-07,14130,14125,14060.0,-0.04,-0.5,0,1,0.46
383220,2023-07-07,112400,112298,112800.0,-0.09,0.36,0,0,0.45
383800,2023-07-07,7710,7717,7720.0,0.09,0.13,0,0,0.04
38380K,2023-07-07,10000,10007,10000.0,0.07,0.0,0,1,0.07
395400,2023-07-07,5080,5106,5020.0,0.51,-1.18,0,1,1.71
396690,2023-07-07,3310,3325,3300.0,0.45,-0.3,0,1,0.76
400760,2023-07-07,3305,3320,3335.0,0.45,0.91,0,0,0.45
402340,2023-07-07,44250,44234,44100.0,-0.04,-0.34,0,1,0.3
403550,2023-07-07,14270,14250,14020.0,-0.14,-1.75,0,1,1.64
404990,2023-07-07,3280,3289,3235.0,0.27,-1.37,0,1,1.67
417310,2023-07-07,4785,4794,4760.0,0.19,-0.52,0,1,0.71
432320,2023-07-07,4245,4258,4245.0,0.31,0.0,0,1,0.31
446070,2023-07-07,8370,8362,8120.0,-0.1,-2.99,0,1,2.98
448730,2023-07-07,5030,5039,5040.0,0.18,0.2,0,0,0.02
450140,2023-07-07,4160,4179,4135.0,0.46,-0.6,0,1,1.06
45014K,2023-07-07,8340,8345,8290.0,0.06,-0.6,0,1,0.66
451800,2023-07-07,5340,5345,5330.0,0.09,-0.19,0,1,0.28
452260,2023-07-07,1389,1388,1382.0,-0.07,-0.5,0,1,0.43
45226K,2023-07-07,5910,5901,5690.0,-0.15,-3.72,0,1,3.71
453340,2023-07-07,12260,12257,12200.0,-0.02,-0.49,0,1,0.47
456040,2023-07-07,140500,140387,136900.0,-0.08,-2.56,0,1,2.55
457190,2023-07-07,310000,309731,297000.0,-0.09,-4.19,0,1,4.29
460850,2023-07-07,10120,10126,9980.0,0.06,-1.38,0,1,1.46
460860,2023-07-07,10100,10121,9740.0,0.21,-3.56,0,1,3.91
900140,2023-07-07,2420,2441,2490.0,0.87,2.89,0,0,1.97
950210,2023-07-07,8880,8870,8760.0,-0.11,-1.35,0,1,1.26
000020,2023-07-10,9840,9837,9930.0,-0.03,0.91,0,0,0.94
000040,2023-07-10,558,584,557.0,4.66,-0.18,0,1,4.85
000050,2023-07-10,9470,9462,9510.0,-0.08,0.42,0,0,0.5
000070,2023-07-10,70100,70049,70400.0,-0.07,0.43,0,0,0.5
000075,2023-07-10,53500,53477,53500.0,-0.04,0.0,0,1,0.04
000080,2023-07-10,20800,20798,20900.0,-0.01,0.48,0,0,0.49
000087,2023-07-10,16020,16015,16130.0,-0.03,0.69,0,0,0.71
000100,2023-07-10,56600,56566,57600.0,-0.06,1.77,0,0,1.8
000105,2023-07-10,53800,53777,54300.0,-0.04,0.93,0,0,0.96
000120,2023-07-10,70800,70787,71700.0,-0.02,1.27,0,0,1.27
000140,2023-07-10,9150,9151,9240.0,0.01,0.98,0,0,0.96
000145,2023-07-10,12260,12262,12220.0,0.02,-0.33,0,1,0.34
000150,2023-07-10,86600,86584,89500.0,-0.02,3.35,0,0,3.26
000155,2023-07-10,51000,50997,52300.0,-0.01,2.55,0,0,2.49
000157,2023-07-10,85500,85459,86600.0,-0.05,1.29,0,0,1.32
000180,2023-07-10,2040,2057,2045.0,0.83,0.25,0,0,0.59
000210,2023-07-10,37600,37609,37600.0,0.02,0.0,0,1,0.02
000215,2023-07-10,22700,22698,22500.0,-0.01,-0.88,0,1,0.88
000220,2023-07-10,5060,5064,5080.0,0.08,0.4,0,0,0.31
000225,2023-07-10,5240,5220,5390.0,-0.38,2.86,0,0,3.15
000227,2023-07-10,11840,11844,11820.0,0.03,-0.17,0,1,0.2
000230,2023-07-10,8320,8324,8370.0,0.05,0.6,0,0,0.55
000240,2023-07-10,11870,11873,11950.0,0.03,0.67,0,0,0.64
000270,2023-07-10,87500,87468,88500.0,-0.04,1.14,0,0,1.17
000300,2023-07-10,991,999,1046.0,0.81,5.55,0,0,4.49
000320,2023-07-10,10300,10317,10320.0,0.17,0.19,0,0,0.03
000325,2023-07-10,20050,20050,20400.0,0.0,1.75,0,0,1.72
000370,2023-07-10,3965,3982,4025.0,0.43,1.51,0,0,1.07
000390,2023-07-10,6590,6626,6550.0,0.55,-0.61,0,1,1.16
000400,2023-07-10,1768,1782,1764.0,0.79,-0.23,0,1,1.02
000430,2023-07-10,6620,6654,6680.0,0.51,0.91,0,0,0.39
000480,2023-07-10,21200,21019,21200.0,-0.85,0.0,0,1,0.85
000490,2023-07-10,11440,11453,11440.0,0.11,0.0,0,1,0.11
000500,2023-07-10,20250,20237,21750.0,-0.06,7.41,0,0,6.96
000520,2023-07-10,7520,7541,7590.0,0.28,0.93,0,0,0.65
000540,2023-07-10,3035,3034,3030.0,-0.03,-0.16,0,1,0.13
000545,2023-07-10,5300,5291,5490.0,-0.17,3.58,0,0,3.62
000547,2023-07-10,7010,6868,6620.0,-2.03,-5.56,0,1,3.75
000590,2023-07-10,58700,58708,59500.0,0.01,1.36,0,0,1.33
000640,2023-07-10,78200,78179,78200.0,-0.03,0.0,0,1,0.03
000650,2023-07-10,52200,52160,52200.0,-0.08,0.0,0,1,0.08
000660,2023-07-10,110300,110274,113400.0,-0.02,2.81,0,0,2.76
000670,2023-07-10,529000,528724,535000.0,-0.05,1.13,0,0,1.17
000680,2023-07-10,2800,2818,2820.0,0.64,0.71,0,0,0.07
000700,2023-07-10,6000,6004,6000.0,0.07,0.0,0,1,0.07
000720,2023-07-10,35850,35856,36500.0,0.02,1.81,0,0,1.76
000725,2023-07-10,61100,61059,60000.0,-0.07,-1.8,0,1,1.76
000760,2023-07-10,19710,19727,19580.0,0.09,-0.66,0,1,0.75
000810,2023-07-10,232500,232373,240000.0,-0.05,3.23,0,0,3.18
000815,2023-07-10,172500,172443,174700.0,-0.03,1.28,0,0,1.29
000850,2023-07-10,37200,37190,37150.0,-0.03,-0.13,0,1,0.11
000860,2023-07-10,22700,22722,22900.0,0.1,0.88,0,0,0.78
000880,2023-07-10,29050,29046,29900.0,-0.01,2.93,0,0,2.86
000885,2023-07-10,32650,32649,33100.0,-0.0,1.38,0,0,1.36
00088K,2023-07-10,14450,14453,14630.0,0.02,1.25,0,0,1.21
000890,2023-07-10,587,602,587.0,2.56,0.0,0,1,2.56
000910,2023-07-10,6490,6478,6730.0,-0.18,3.7,0,0,3.74
000950,2023-07-10,27000,26982,27750.0,-0.07,2.78,0,0,2.77
000970,2023-07-10,7350,7352,7380.0,0.03,0.41,0,0,0.38
000990,2023-07-10,58100,58078,59100.0,-0.04,1.72,0,0,1.73
000995,2023-07-10,26850,26767,26050.0,-0.31,-2.98,0,1,2.75
001020,2023-07-10,1141,1149,874.0,0.7,-23.4,0,1,31.46
001040,2023-07-10,61400,61411,62700.0,0.02,2.12,0,0,2.06
001045,2023-07-10,42350,42368,42900.0,0.04,1.3,0,0,1.24
00104K,2023-07-10,54100,54111,55800.0,0.02,3.14,0,0,3.03
001060,2023-07-10,26900,26966,27400.0,0.25,1.86,0,0,1.58
001065,2023-07-10,30900,30924,31250.0,0.08,1.13,0,0,1.04
001067,2023-07-10,62000,61937,62600.0,-0.1,0.97,0,0,1.06
001070,2023-07-10,13200,13198,12990.0,-0.02,-1.59,0,1,1.6
001080,2023-07-10,37950,37859,37400.0,-0.24,-1.45,0,1,1.23
001120,2023-07-10,33100,33059,35200.0,-0.12,6.34,0,0,6.08
001130,2023-07-10,127700,127654,130200.0,-0.04,1.96,0,0,1.96
001140,2023-07-10,7460,7482,7090.0,0.29,-4.96,0,1,5.53
001200,2023-07-10,4125,4114,4150.0,-0.27,0.61,0,0,0.87
001210,2023-07-10,1162,1217,1148.0,4.73,-1.2,0,1,6.01
001230,2023-07-10,17440,17447,18820.0,0.04,7.91,0,0,7.3
001250,2023-07-10,2725,2746,2780.0,0.77,2.02,0,0,1.22
001260,2023-07-10,10050,10112,9800.0,0.62,-2.49,0,1,3.18
001270,2023-07-10,21350,21355,21000.0,0.02,-1.64,0,1,1.69
001275,2023-07-10,18810,18819,18830.0,0.05,0.11,0,0,0.06
001290,2023-07-10,762,765,756.0,0.39,-0.79,0,1,1.19
001340,2023-07-10,7870,7882,8500.0,0.15,8.01,0,0,7.27
001360,2023-07-10,2930,2945,2985.0,0.51,1.88,0,0,1.34
001380,2023-07-10,1341,1367,1346.0,1.94,0.37,0,0,1.56
001390,2023-07-10,48250,48235,46550.0,-0.03,-3.52,0,1,3.62
001420,2023-07-10,5000,5021,5280.0,0.42,5.6,0,0,4.91
001430,2023-07-10,26150,26159,26700.0,0.03,2.1,0,0,2.03
001440,2023-07-10,13850,13880,13910.0,0.22,0.43,0,0,0.22
001450,2023-07-10,30600,30585,30700.0,-0.05,0.33,0,0,0.37
001460,2023-07-10,402000,401840,403500.0,-0.04,0.37,0,0,0.41
001465,2023-07-10,144800,144752,144600.0,-0.03,-0.14,0,1,0.11
001470,2023-07-10,4940,4974,4730.0,0.69,-4.25,0,1,5.16
001500,2023-07-10,8470,8472,8530.0,0.02,0.71,0,0,0.68
001510,2023-07-10,663,683,668.0,3.02,0.75,0,0,2.25
001515,2023-07-10,2400,2414,2410.0,0.58,0.42,0,0,0.17
001520,2023-07-10,1004,1011,1012.0,0.7,0.8,0,0,0.1
001525,2023-07-10,5930,5946,5830.0,0.27,-1.69,0,1,1.99
001527,2023-07-10,12380,12398,12300.0,0.15,-0.65,0,1,0.8
001530,2023-07-10,20450,20460,21000.0,0.05,2.69,0,0,2.57
001550,2023-07-10,14450,14451,14620.0,0.01,1.18,0,0,1.16
001560,2023-07-10,8050,8051,7970.0,0.01,-0.99,0,1,1.02
001570,2023-07-10,86900,86878,105900.0,-0.03,21.86,0,0,17.96
001620,2023-07-10,629,637,625.0,1.27,-0.64,0,1,1.92
001630,2023-07-10,47400,47361,47050.0,-0.08,-0.74,0,1,0.66
001680,2023-07-10,16450,16459,16570.0,0.05,0.73,0,0,0.67
001685,2023-07-10,13950,13960,13960.0,0.07,0.07,0,0,0.0
001720,2023-07-10,55400,55393,55800.0,-0.01,0.72,0,0,0.73
001725,2023-07-10,55300,55284,55200.0,-0.03,-0.18,0,1,0.15
001740,2023-07-10,5170,5199,5240.0,0.56,1.35,0,0,0.78
001745,2023-07-10,11600,11343,13800.0,-2.22,18.97,0,0,17.8
001750,2023-07-10,8790,8793,8810.0,0.03,0.23,0,0,0.19
001755,2023-07-10,12170,12163,12000.0,-0.06,-1.4,0,1,1.36
001770,2023-07-10,24950,24958,25250.0,0.03,1.2,0,0,1.16
001780,2023-07-10,4885,4880,5050.0,-0.1,3.38,0,0,3.37
001790,2023-07-10,3290,3309,3350.0,0.58,1.82,0,0,1.22
001795,2023-07-10,2835,2861,2835.0,0.92,0.0,0,1,0.92
001800,2023-07-10,14140,14150,14150.0,0.07,0.07,0,0,0.0
001820,2023-07-10,41850,41841,42600.0,-0.02,1.79,0,0,1.78
001880,2023-07-10,13220,13240,13230.0,0.15,0.08,0,0,0.08
001940,2023-07-10,18000,17994,17680.0,-0.03,-1.78,0,1,1.78
002020,2023-07-10,18920,18920,18950.0,0.0,0.16,0,0,0.16
002025,2023-07-10,14170,14168,14160.0,-0.01,-0.07,0,1,0.06
002030,2023-07-10,140900,140816,140000.0,-0.06,-0.64,0,1,0.58
002070,2023-07-10,1680,1701,1677.0,1.25,-0.18,0,1,1.43
002100,2023-07-10,9910,9931,9940.0,0.21,0.3,0,0,0.09
002140,2023-07-10,3940,3964,3920.0,0.61,-0.51,0,1,1.12
002150,2023-07-10,9040,9074,9160.0,0.38,1.33,0,0,0.94
002170,2023-07-10,50000,49989,49850.0,-0.02,-0.3,0,1,0.28
002200,2023-07-10,2970,2964,3010.0,-0.2,1.35,0,0,1.53
002210,2023-07-10,5930,5945,5900.0,0.25,-0.51,0,1,0.76
002220,2023-07-10,3330,3342,3310.0,0.36,-0.6,0,1,0.97
002240,2023-07-10,18970,18985,18880.0,0.08,-0.47,0,1,0.56
002310,2023-07-10,34300,34291,34700.0,-0.03,1.17,0,0,1.18
002320,2023-07-10,18960,18956,18980.0,-0.02,0.11,0,0,0.13
002350,2023-07-10,8400,8396,8450.0,-0.05,0.6,0,0,0.64
002355,2023-07-10,2945,2955,2975.0,0.34,1.02,0,0,0.67
002360,2023-07-10,704,724,708.0,2.84,0.57,0,0,2.26
002380,2023-07-10,191300,191223,191700.0,-0.04,0.21,0,0,0.25
002390,2023-07-10,13770,13759,13760.0,-0.08,-0.07,0,1,0.01
002410,2023-07-10,3150,3194,3100.0,1.4,-1.59,0,1,3.03
002420,2023-07-10,7300,7313,7290.0,0.18,-0.14,0,1,0.32
002450,2023-07-10,1198,1213,1204.0,1.25,0.5,0,0,0.75
002460,2023-07-10,9870,9875,9940.0,0.05,0.71,0,0,0.65
002600,2023-07-10,202000,201944,203000.0,-0.03,0.5,0,0,0.52
002620,2023-07-10,12700,12690,12750.0,-0.08,0.39,0,0,0.47
002630,2023-07-10,665,665,667.0,0.0,0.3,0,0,0.3
002690,2023-07-10,2125,2139,2145.0,0.66,0.94,0,0,0.28
002700,2023-07-10,1780,1782,1788.0,0.11,0.45,0,0,0.34
002710,2023-07-10,43750,43780,43950.0,0.07,0.46,0,0,0.39
002720,2023-07-10,3995,4020,4025.0,0.63,0.75,0,0,0.12
002760,2023-07-10,1598,1611,1603.0,0.81,0.31,0,0,0.5
002780,2023-07-10,1268,1285,1269.0,1.34,0.08,0,0,1.26
002785,2023-07-10,5130,5128,5200.0,-0.04,1.36,0,0,1.38
002787,2023-07-10,12210,12215,12380.0,0.04,1.39,0,0,1.33
002790,2023-07-10,25050,25045,26000.0,-0.02,3.79,0,0,3.67
002795,2023-07-10,9910,9914,9970.0,0.04,0.61,0,0,0.56
00279K,2023-07-10,19250,19224,19590.0,-0.14,1.77,0,0,1.87
002810,2023-07-10,13040,13047,12800.0,0.05,-1.84,0,1,1.93
002820,2023-07-10,2690,2709,2915.0,0.71,8.36,0,0,7.07
002840,2023-07-10,168800,168702,168500.0,-0.06,-0.18,0,1,0.12
002870,2023-07-10,1010,1025,1003.0,1.49,-0.69,0,1,2.19
002880,2023-07-10,656,673,670.0,2.59,2.13,0,0,0.45
002900,2023-07-10,7300,7326,7310.0,0.36,0.14,0,0,0.22
002920,2023-07-10,3090,3098,3095.0,0.26,0.16,0,0,0.1
002960,2023-07-10,220000,219896,220500.0,-0.05,0.23,0,0,0.27
002990,2023-07-10,5830,5851,5890.0,0.36,1.03,0,0,0.66
002995,2023-07-10,19190,19193,17100.0,0.02,-10.89,0,1,12.24
003000,2023-07-10,6930,6939,7090.0,0.13,2.31,0,0,2.13
003010,2023-07-10,6200,6209,6210.0,0.15,0.16,0,0,0.02
003030,2023-07-10,192500,192424,204500.0,-0.04,6.23,0,0,5.91
003060,2023-07-10,357,367,356.0,2.8,-0.28,0,1,3.09
003070,2023-07-10,13760,13765,13710.0,0.04,-0.36,0,1,0.4
003075,2023-07-10,20500,20468,19970.0,-0.16,-2.59,0,1,2.49
003080,2023-07-10,3240,3242,3255.0,0.06,0.46,0,0,0.4
003090,2023-07-10,12130,12147,12110.0,0.14,-0.16,0,1,0.31
003120,2023-07-10,25900,25897,25500.0,-0.01,-1.54,0,1,1.56
003160,2023-07-10,7270,7255,7440.0,-0.21,2.34,0,0,2.49
003200,2023-07-10,10100,10106,10060.0,0.06,-0.4,0,1,0.46
003220,2023-07-10,13650,13666,13660.0,0.12,0.07,0,0,0.04
003230,2023-07-10,120400,120315,121900.0,-0.07,1.25,0,0,1.3
003240,2023-07-10,601000,600751,598000.0,-0.04,-0.5,0,1,0.46
003280,2023-07-10,2245,2268,2250.0,1.02,0.22,0,0,0.8
003300,2023-07-10,11660,11653,11680.0,-0.06,0.17,0,0,0.23
003350,2023-07-10,26300,26276,26650.0,-0.09,1.33,0,0,1.4
003410,2023-07-10,4900,4919,4960.0,0.39,1.22,0,0,0.83
003460,2023-07-10,2410,2420,2400.0,0.41,-0.41,0,1,0.83
003465,2023-07-10,2520,2530,2520.0,0.4,0.0,0,1,0.4
003470,2023-07-10,2655,2661,2670.0,0.23,0.56,0,0,0.34
003475,2023-07-10,2580,2580,2600.0,0.0,0.78,0,0,0.77
003480,2023-07-10,3700,3697,3700.0,-0.08,0.0,0,1,0.08
003490,2023-07-10,25250,25263,25550.0,0.05,1.19,0,0,1.12
003495,2023-07-10,28400,28397,28300.0,-0.01,-0.35,0,1,0.34
003520,2023-07-10,2315,2326,2395.0,0.48,3.46,0,0,2.88
003530,2023-07-10,2535,2534,2555.0,-0.04,0.79,0,0,0.82
003535,2023-07-10,4635,4632,4680.0,-0.06,0.97,0,0,1.03
003540,2023-07-10,13220,13233,13270.0,0.1,0.38,0,0,0.28
003545,2023-07-10,12970,12982,12980.0,0.09,0.08,0,0,0.02
003547,2023-07-10,12350,12366,12400.0,0.13,0.4,0,0,0.27
003550,2023-07-10,84800,84779,85400.0,-0.02,0.71,0,0,0.73
003555,2023-07-10,65200,65182,65400.0,-0.03,0.31,0,0,0.33
003560,2023-07-10,239,260,239.0,8.79,0.0,0,1,8.79
003570,2023-07-10,10200,10224,10440.0,0.24,2.35,0,0,2.07
003580,2023-07-10,4480,4489,4530.0,0.2,1.12,0,0,0.91
003610,2023-07-10,2575,2607,2485.0,1.24,-3.5,0,1,4.91
003620,2023-07-10,8800,8864,8620.0,0.73,-2.05,0,1,2.83
003650,2023-07-10,66600,66588,67000.0,-0.02,0.6,0,0,0.61
003670,2023-07-10,408000,407814,396000.0,-0.05,-2.94,0,1,2.98
003680,2023-07-10,5570,5576,5570.0,0.11,0.0,0,1,0.11
003690,2023-07-10,6810,6824,6810.0,0.21,0.0,0,1,0.21
003720,2023-07-10,4175,4177,4325.0,0.05,3.59,0,0,3.42
003780,2023-07-10,6330,6343,6340.0,0.21,0.16,0,0,0.05
003830,2023-07-10,105400,105368,105700.0,-0.03,0.28,0,0,0.31
003850,2023-07-10,7710,7725,7740.0,0.19,0.39,0,0,0.19
003920,2023-07-10,502000,501650,510000.0,-0.07,1.59,0,0,1.64
003925,2023-07-10,270500,270220,270000.0,-0.1,-0.18,0,1,0.08
003960,2023-07-10,25250,25264,25150.0,0.06,-0.4,0,1,0.45
004000,2023-07-10,65300,65271,65200.0,-0.04,-0.15,0,1,0.11
004020,2023-07-10,33700,33699,33250.0,-0.0,-1.34,0,1,1.35
004060,2023-07-10,520,545,520.0,4.81,0.0,0,1,4.81
004080,2023-07-10,14240,14245,14300.0,0.04,0.42,0,0,0.38
004090,2023-07-10,10170,10177,10230.0,0.07,0.59,0,0,0.52
004100,2023-07-10,1742,1756,1742.0,0.8,0.0,0,1,0.8
004105,2023-07-10,2920,2929,2940.0,0.31,0.68,0,0,0.37
004140,2023-07-10,2160,2182,2180.0,1.02,0.93,0,0,0.09
004150,2023-07-10,3090,3094,3080.0,0.13,-0.32,0,1,0.45
004170,2023-07-10,185600,185508,189000.0,-0.05,1.83,0,0,1.85
004250,2023-07-10,6520,6536,6610.0,0.25,1.38,0,0,1.12
004255,2023-07-10,3065,3080,3070.0,0.49,0.16,0,0,0.33
004270,2023-07-10,2285,2314,2290.0,1.27,0.22,0,0,1.05
004310,2023-07-10,3810,3812,3870.0,0.05,1.57,0,0,1.5
004360,2023-07-10,11760,11767,11730.0,0.06,-0.26,0,1,0.32
004365,2023-07-10,7270,7281,7270.0,0.15,0.0,0,1,0.15
004370,2023-07-10,404000,403629,399000.0,-0.09,-1.24,0,1,1.16
004380,2023-07-10,12530,12536,12580.0,0.05,0.4,0,0,0.35
004410,2023-07-10,206,226,206.0,9.71,0.0,0,1,9.71
004415,2023-07-10,2250,2262,2250.0,0.53,0.0,0,1,0.53
004430,2023-07-10,17980,17993,18410.0,0.07,2.39,0,0,2.27
